Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Honor 7X,,5.93 İnç,64 GB,4 GB,3340 mAh,40.0,https://www.epey.com/akilli-telefonlar/huawei-honor-7x.html
Casper VIA S,2299.0,6.22 İnç,128 GB,3 GB,3500 mAh,40.0,https://www.epey.com/akilli-telefonlar/casper-via-s-128gb.html
Samsung Galaxy Note 4,,5.7 İnç,32 GB,3 GB,3220 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-4-sm-n910f.html
Samsung Galaxy Note 4,,5.7 İnç,32 GB,3 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-4-dual-sim.html
Samsung Galaxy M10s,,6.4 İnç,32 GB,3 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m10s.html
BlackBerry KEYone,,4.5 İnç,32 GB,3 GB,3505 mAh,39.0,https://www.epey.com/akilli-telefonlar/blackberry-keyone.html
Apple iPhone 6s,,4.7 İnç,128 GB,2 GB,1715 mAh,39.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-128gb.html
HTC One M9,,5.0 İnç,32 GB,3 GB,2840 mAh,39.0,https://www.epey.com/akilli-telefonlar/htc-one-m9.html
Xiaomi Redmi Note 4 (MediaTek),,5.5 İnç,64 GB,4 GB,4100 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4-64gb-mediatek.html
Lenovo Moto Z Play,,5.5 İnç,16 GB,3 GB,3510 mAh,39.0,https://www.epey.com/akilli-telefonlar/motorola-moto-z-play.html
General Mobile GM 20,1932.54,6.09 İnç,64 GB,4 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-20-cift-sim.html
General Mobile GM 20,1739.1,6.09 İnç,64 GB,4 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-20.html
Sony Xperia XA1 Plus,,5.5 İnç,32 GB,4 GB,3430 mAh,39.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa1-plus.html
Oppo AX7,,6.2 İnç,64 GB,3 GB,4230 mAh,39.0,https://www.epey.com/akilli-telefonlar/oppo-ax7.html
Xiaomi Mi Max,,6.44 İnç,64 GB,3 GB,4850 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-max-64gb.html
Casper VIA F3,,6.26 İnç,64 GB,3 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/casper-via-f3.html
Xiaomi Redmi 7,2604.54,6.26 İnç,32 GB,3 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-7-32gb.html
Realme C3i,1793.97,6.5 İnç,32 GB,2 GB,5000 mAh,39.0,https://www.epey.com/akilli-telefonlar/realme-c3i.html
Samsung Galaxy S5,,5.1 İnç,32 GB,2 GB,2800 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s5-32gb-3g.html
LG G Flex 2,,5.5 İnç,32 GB,3 GB,3000 mAh,39.0,https://www.epey.com/akilli-telefonlar/lg-g-flex2-32gb.html
CAT S41,,5.0 İnç,32 GB,3 GB,5000 mAh,39.0,https://www.epey.com/akilli-telefonlar/cat-s41.html
Huawei Nova,,5.0 İnç,32 GB,3 GB,3020 mAh,39.0,https://www.epey.com/akilli-telefonlar/huawei-nova.html
Xiaomi Redmi Note 4X (MediaTek),,5.5 İnç,64 GB,4 GB,4100 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4x-64gb-mediatek.html
Xiaomi Redmi Note 4,,5.5 İnç,64 GB,4 GB,4100 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4-64gb.html
Samsung Galaxy Note Edge,,5.6 İnç,32 GB,3 GB,3000 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-edge.html
Sony Xperia X,,5.0 İnç,32 GB,3 GB,2620 mAh,39.0,https://www.epey.com/akilli-telefonlar/sony-xperia-x.html
Samsung Galaxy A6+ Plus,,6.0 İnç,32 GB,3 GB,3500 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6-plus-32gb.html
Samsung Galaxy S5,,5.1 İnç,32 GB,2 GB,2800 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s5-32gb.html
Apple iPhone 6s Plus,3745.7,5.5 İnç,32 GB,2 GB,2750 mAh,39.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-plus-32gb.html
Samsung Galaxy J7 Pro,2266.78,5.5 İnç,32 GB,3 GB,3600 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro-32gb-tek-sim.html
Elephone A7H,1979.0,6.41 İnç,64 GB,4 GB,3900 mAh,39.0,https://www.epey.com/akilli-telefonlar/elephone-a7h.html
Sony Xperia XA1 Ultra,,6.0 İnç,32 GB,4 GB,2700 mAh,39.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa1-ultra.html
Vestel Venus Z10,1711.2,5.2 İnç,64 GB,4 GB,3050 mAh,39.0,https://www.epey.com/akilli-telefonlar/vestel-venus-z10.html
Huawei P10 Lite,,5.2 İnç,32 GB,4 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-p10-lite-dual.html
Elephone P9000,,5.5 İnç,32 GB,4 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/elephone-p9000.html
Honor 9 Lite,,5.65 İnç,32 GB,3 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-honor-9-lite.html
Sony Xperia X Compact,,4.6 İnç,32 GB,3 GB,2700 mAh,38.0,https://www.epey.com/akilli-telefonlar/sony-xperia-x-compact.html
Reeder P12 Curve,1999.99,5.5 İnç,64 GB,4 GB,4500 mAh,37.0,https://www.epey.com/akilli-telefonlar/reeder-p12-curve.html
Samsung Galaxy S5,,5.1 İnç,16 GB,2 GB,2800 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s5-3g.html
Asus Zenfone Max M2,,6.26 İnç,32 GB,3 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-max-m2.html
Sony Xperia M5,,5.0 İnç,16 GB,3 GB,2600 mAh,37.0,https://www.epey.com/akilli-telefonlar/sony-xperia-m5.html
Honor 8A,2219.5,6.09 İnç,64 GB,3 GB,3020 mAh,37.0,https://www.epey.com/akilli-telefonlar/honor-8a-64gb.html
Asus ZenFone 2,,5.5 İnç,32 GB,4 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-2-ze551ml-32gb.html
Samsung Galaxy C7,,5.7 İnç,32 GB,4 GB,3300 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c7.html
LG G Flex 2,,5.5 İnç,16 GB,2 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/lg-g-flex2.html
Sony Xperia Z2,,5.2 İnç,16 GB,3 GB,3200 mAh,37.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z2.html
Samsung Galaxy On Nxt,,5.5 İnç,64 GB,3 GB,3300 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on-nxt-64gb.html
Samsung Galaxy J8,3337.94,6.0 İnç,32 GB,3 GB,3500 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j8.html
Samsung Galaxy J7+,,5.5 İnç,32 GB,4 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-plus.html
LG Q7+ BTS Edition,,5.5 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/lg-q7-bts-edition.html
Sony Xperia Z3,,5.2 İnç,16 GB,3 GB,3100 mAh,37.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z3.html
Sony Xperia Z3 Dual,,5.2 İnç,16 GB,3 GB,3100 mAh,37.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z3-dual.html
Huawei P Smart,,5.65 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart-dual.html
Huawei P Smart,2429.0,5.65 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart.html
Samsung Galaxy J8,,6.0 İnç,32 GB,3 GB,3500 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j8-32gb.html
Samsung Galaxy A11,2128.77,6.4 İnç,32 GB,2 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a11.html
Realme C21,1719.57,6.5 İnç,32 GB,3 GB,5000 mAh,37.0,https://www.epey.com/akilli-telefonlar/realme-c21.html
Xiaomi Redmi 6,,5.45 İnç,64 GB,4 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6-64gb.html
Samsung Galaxy A02s,2125.05,6.5 İnç,32 GB,3 GB,5000 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a02s.html
Samsung Galaxy C8,,5.5 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c8.html
Xiaomi Mi A2 Lite,2797.54,5.84 İnç,32 GB,3 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a2-lite.html
LG K41S,1801.8,6.55 İnç,32 GB,3 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/lg-k41s.html
Honor 8C,1929.04,6.26 İnç,32 GB,3 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/honor-8c.html
Apple iPhone SE,,4.0 İnç,64 GB,2 GB,1625 mAh,37.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se-64gb.html
Huawei P9,,5.2 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/huawei-p9-eva-l19.html
Nokia 5.1 Plus,,5.86 İnç,32 GB,3 GB,3060 mAh,37.0,https://www.epey.com/akilli-telefonlar/nokia-5-1-plus.html
Huawei Y6s,1999.0,6.09 İnç,64 GB,3 GB,3020 mAh,37.0,https://www.epey.com/akilli-telefonlar/huawei-y6s-64gb.html
LG Q7 Prime,,5.5 İnç,32 GB,3 GB,3000 mAh,37.0,https://www.epey.com/akilli-telefonlar/lg-q7-prime.html
LG K50,,6.26 İnç,32 GB,3 GB,3500 mAh,37.0,https://www.epey.com/akilli-telefonlar/lg-k50.html
Alcatel 5V,1649.0,6.2 İnç,32 GB,3 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/alcatel-5v.html
Casper VIA F2,,6.0 İnç,64 GB,4 GB,4000 mAh,37.0,https://www.epey.com/akilli-telefonlar/casper-via-f2.html
Huawei Mate S,,5.5 İnç,32 GB,3 GB,2700 mAh,37.0,https://www.epey.com/akilli-telefonlar/huawei-mate-s.html
Casper VIA A1,,5.5 İnç,64 GB,4 GB,3130 mAh,37.0,https://www.epey.com/akilli-telefonlar/casper-via-a1-cift-sim.html
Casper VIA A1,,5.5 İnç,64 GB,4 GB,3130 mAh,37.0,https://www.epey.com/akilli-telefonlar/casper-via-a1.html
Oppo A15s,,6.52 İnç,32 GB,3 GB,4230 mAh,37.0,https://www.epey.com/akilli-telefonlar/oppo-a15s-32gb.html
Alcatel 1S,1833.5,5.5 İnç,64 GB,4 GB,3060 mAh,36.0,https://www.epey.com/akilli-telefonlar/alcatel-1s-64gb.html
Lenovo Vibe Z2 Pro,,6.0 İnç,32 GB,3 GB,4000 mAh,36.0,https://www.epey.com/akilli-telefonlar/lenovo-vibe-z2-pro.html
Xiaomi Redmi 6,,5.45 İnç,64 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6-64gb-3gb.html
Samsung Galaxy S4,,5.0 İnç,64 GB,2 GB,2600 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-64gb.html
Samsung Galaxy J7 Duo,,5.5 İnç,32 GB,4 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-duo-4gb.html
HTC One A9,,5.0 İnç,32 GB,3 GB,2150 mAh,36.0,https://www.epey.com/akilli-telefonlar/htc-one-a9-32gb.html
Alcatel A7,,5.5 İnç,32 GB,3 GB,4000 mAh,36.0,https://www.epey.com/akilli-telefonlar/alcatel-a7.html
Samsung Galaxy S5,,5.1 İnç,16 GB,2 GB,2800 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s5.html
Samsung Galaxy J7 Max,,5.7 İnç,32 GB,4 GB,3300 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-max.html
Apple iPhone 6s Plus,4824.04,5.5 İnç,16 GB,2 GB,2750 mAh,36.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-plus.html
Samsung Galaxy J7 Pro,,5.5 İnç,16 GB,3 GB,3600 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro.html
Casper VIA F1,,5.5 İnç,64 GB,4 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/casper-via-f1.html
Samsung Galaxy J6+ Plus,,6.0 İnç,64 GB,4 GB,3300 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j6-plus-64gb.html
ZTE Axon 7 Mini,,5.2 İnç,32 GB,3 GB,2705 mAh,36.0,https://www.epey.com/akilli-telefonlar/zte-axon-7-mini.html
HTC One X9,,5.5 İnç,32 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/htc-one-x9.html
Samsung Galaxy S5 Duos,,5.1 İnç,16 GB,2 GB,2800 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s5-duos.html
Xiaomi Redmi 7,,6.26 İnç,16 GB,2 GB,4000 mAh,36.0,https://www.epey.com/akilli-telefonlar/redmi-7.html
Samsung Galaxy J7 Pro,,5.5 İnç,16 GB,3 GB,3600 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro-dual-sim.html
Samsung Galaxy A7 (2016),,5.5 İnç,16 GB,3 GB,3300 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2016.html
Samsung Galaxy J7 (2017),,5.5 İnç,16 GB,3 GB,3600 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-2017.html
Apple iPhone 6 Plus,,5.5 İnç,128 GB,1 GB,2915 mAh,36.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6-plus-128gb.html
Asus ZenFone 4 Max,,5.5 İnç,32 GB,3 GB,5000 mAh,36.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-4-max.html
Huawei G9 Plus,,5.5 İnç,32 GB,3 GB,3340 mAh,36.0,https://www.epey.com/akilli-telefonlar/huawei-g9-plus.html
Samsung Galaxy J5 Pro,,5.2 İnç,32 GB,2 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j5-pro-32gb.html
Casper VIA P3,1679.0,5.86 İnç,32 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/casper-via-p3.html
LG K40s,1899.05,6.1 İnç,32 GB,2 GB,3500 mAh,36.0,https://www.epey.com/akilli-telefonlar/lg-k40s.html
Asus Zenfone Max Plus (M1),,5.7 İnç,32 GB,3 GB,4130 mAh,36.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-max-plus-m1.html
Samsung Galaxy J7 Duo,,5.5 İnç,32 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-duo.html
Samsung Galaxy J7 Duo,,5.5 İnç,32 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-duo-dual.html
Xiaomi Redmi S2,,5.99 İnç,32 GB,3 GB,3080 mAh,36.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-s2.html
Samsung Galaxy A7 (2016),,5.5 İnç,16 GB,3 GB,3300 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2016-sm-a710fd.html
HTC Desire 10 Pro,,5.5 İnç,32 GB,3 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/htc-desire-10-pro.html
Xiaomi Redmi Note 5A Prime,,5.5 İnç,64 GB,4 GB,3080 mAh,36.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5a-prime-64gb.html
Xiaomi Mi Max,,6.44 İnç,32 GB,3 GB,4850 mAh,36.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-max.html
Samsung Galaxy J5 Pro,,5.2 İnç,32 GB,2 GB,3000 mAh,36.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j5-pro-32gb-dual.html
Vestel Venus V6,2122.04,5.7 İnç,32 GB,3 GB,3366 mAh,35.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v6.html
HTC One E9+,,5.5 İnç,32 GB,3 GB,2800 mAh,35.0,https://www.epey.com/akilli-telefonlar/htc-one-e9-plus.html
Oppo A5s,2099.0,6.2 İnç,32 GB,3 GB,4230 mAh,35.0,https://www.epey.com/akilli-telefonlar/oppo-a5s.html
Lenovo Vibe P1 Pro,,5.5 İnç,32 GB,3 GB,5000 mAh,35.0,https://www.epey.com/akilli-telefonlar/lenovo-vibe-p1-pro.html
Nokia 6 (2017),,5.5 İnç,32 GB,3 GB,3000 mAh,35.0,https://www.epey.com/akilli-telefonlar/nokia-6.html
Xiaomi Redmi 9A,1710.28,6.53 İnç,32 GB,2 GB,5000 mAh,35.0,https://www.epey.com/akilli-telefonlar/redmi-9a.html
Xiaomi Redmi Note 4 (MediaTek),,5.5 İnç,32 GB,3 GB,4100 mAh,35.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4-mediatek.html
Meizu M10,1629.36,6.5 İnç,32 GB,3 GB,4000 mAh,35.0,https://www.epey.com/akilli-telefonlar/meizu-m10.html
Huawei P8 max,,6.8 İnç,64 GB,3 GB,4360 mAh,35.0,https://www.epey.com/akilli-telefonlar/huawei-p8max.html
Samsung Galaxy J7 Prime 2,2099.0,5.5 İnç,32 GB,3 GB,3300 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-prime-2.html
Oppo A15,1964.09,6.52 İnç,32 GB,2 GB,4230 mAh,35.0,https://www.epey.com/akilli-telefonlar/oppo-a15.html
Sony Xperia XA1,1300.0,5.0 İnç,32 GB,3 GB,2300 mAh,35.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa1.html
Xiaomi Redmi 4X,,5.0 İnç,64 GB,4 GB,4100 mAh,35.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-4x-64gb.html
Alcatel 3 2019,,5.94 İnç,32 GB,3 GB,3500 mAh,35.0,https://www.epey.com/akilli-telefonlar/alcatel-3-2019-32gb.html
Realme C11,1901.05,6.5 İnç,32 GB,3 GB,5000 mAh,35.0,https://www.epey.com/akilli-telefonlar/realme-c11-3gb.html
LG G3,,5.5 İnç,16 GB,2 GB,3000 mAh,35.0,https://www.epey.com/akilli-telefonlar/lg-g3.html
Xiaomi Redmi 5 Plus,,5.99 İnç,32 GB,3 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-5-plus.html
Xiaomi Redmi Note 4X,,5.5 İnç,64 GB,4 GB,4100 mAh,39.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4x-64gb.html
Samsung Galaxy C5,,5.2 İnç,64 GB,4 GB,2600 mAh,39.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c5-64gb.html
LG K50s,2002.89,6.5 İnç,32 GB,3 GB,4000 mAh,39.0,https://www.epey.com/akilli-telefonlar/lg-k50s.html
Reeder P12S,2799.0,5.5 İnç,64 GB,6 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/reeder-p12s.html
HTC U Play,,5.2 İnç,32 GB,3 GB,2500 mAh,38.0,https://www.epey.com/akilli-telefonlar/htc-u-play.html
Infinix S5 Lite,2100.0,6.6 İnç,64 GB,4 GB,4000 mAh,38.0,https://www.epey.com/akilli-telefonlar/infinix-s5-lite.html
Apple iPhone SE,,4.0 İnç,128 GB,2 GB,1625 mAh,38.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se-128gb.html
Samsung Galaxy J7 Pro,,5.5 İnç,32 GB,3 GB,3600 mAh,38.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro-32gb.html
Huawei P8,,5.2 İnç,64 GB,3 GB,2680 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-p8-64gb.html
Realme C2,2123.0,6.1 İnç,64 GB,3 GB,4000 mAh,38.0,https://www.epey.com/akilli-telefonlar/realme-c2.html
Samsung Galaxy A20s,2436.6,6.5 İnç,32 GB,3 GB,4000 mAh,38.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a20s.html
Samsung Galaxy M11,2231.07,6.4 İnç,32 GB,3 GB,5000 mAh,38.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m11.html
Huawei Honor 8,,5.2 İnç,32 GB,3 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-honor-8.html
Casper VIA S,1729.8,6.22 İnç,64 GB,3 GB,3500 mAh,38.0,https://www.epey.com/akilli-telefonlar/casper-via-s.html
Vestel Venus V7,2323.14,6.21 İnç,64 GB,3 GB,4050 mAh,38.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v7.html
LG G3,,5.5 İnç,32 GB,3 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/lg-g3-32gb.html
Samsung Galaxy J6,,5.6 İnç,64 GB,4 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j6-64gb.html
HTC One M9+,,5.2 İnç,32 GB,3 GB,2840 mAh,38.0,https://www.epey.com/akilli-telefonlar/htc-one-m9-plus.html
Huawei P9,,5.2 İnç,32 GB,3 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-p9.html
Samsung Galaxy On7 Prime,,5.5 İnç,64 GB,4 GB,3300 mAh,38.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on7-prime-64gb.html
General Mobile GM 8 2019 Edition,2032.05,5.7 İnç,64 GB,4 GB,3075 mAh,38.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-8-2019-edition-64gb.html
Apple iPhone 6s,3989.05,4.7 İnç,64 GB,2 GB,1715 mAh,38.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-64gb.html
General Mobile GM 8,,5.7 İnç,64 GB,4 GB,3075 mAh,38.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-8-64gb.html
General Mobile GM 8,,5.7 İnç,64 GB,4 GB,3075 mAh,38.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-8-64gb-dual.html
Xiaomi Mi 5X,,5.5 İnç,32 GB,4 GB,3080 mAh,38.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5x.html
Alcatel 1SE (2020),1417.32,6.22 İnç,64 GB,4 GB,4000 mAh,38.0,https://www.epey.com/akilli-telefonlar/alcatel-1se-2020.html
Xiaomi Mi A1,,5.5 İnç,32 GB,4 GB,3080 mAh,38.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a1-32gb.html
Xiaomi Redmi 9C,1953.0,6.53 İnç,32 GB,2 GB,5000 mAh,38.0,https://www.epey.com/akilli-telefonlar/redmi-9c.html
Huawei P10 Lite,,5.2 İnç,32 GB,4 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/huawei-p10-lite.html
Alcatel Idol 4S,,5.5 İnç,32 GB,3 GB,3000 mAh,38.0,https://www.epey.com/akilli-telefonlar/alcatel-idol-4s.html
Samsung Galaxy C5,1849.0,5.2 İnç,32 GB,4 GB,2600 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c5.html
Oppo A12,1953.0,6.22 İnç,32 GB,3 GB,4230 mAh,35.0,https://www.epey.com/akilli-telefonlar/oppo-a12.html
Meizu MX5,,5.5 İnç,32 GB,3 GB,3150 mAh,35.0,https://www.epey.com/akilli-telefonlar/meizu-mx5-32gb.html
Samsung Galaxy J7 Prime 2 Duos,,5.5 İnç,32 GB,3 GB,3300 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-prime-2-duos.html
Huawei Y7 Prime 2019,1622.85,6.26 İnç,32 GB,3 GB,4000 mAh,35.0,https://www.epey.com/akilli-telefonlar/huawei-y7-prime-2019.html
Nokia 3.1 Plus,,6.0 İnç,32 GB,3 GB,3500 mAh,35.0,https://www.epey.com/akilli-telefonlar/nokia-3-1-plus.html
Samsung Galaxy A3 (2017),2099.0,4.7 İnç,16 GB,2 GB,2350 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3-2017-dual-sim.html
Samsung Galaxy A3 (2017),,4.7 İnç,16 GB,2 GB,2350 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3-2017.html
Samsung Galaxy A6,2600.0,5.6 İnç,32 GB,3 GB,3000 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6-duos-32gb.html
Samsung Galaxy A5 (2016),,5.2 İnç,16 GB,2 GB,2900 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a5-2016.html
Asus ZenFone 3 Laser,,5.5 İnç,32 GB,4 GB,3000 mAh,35.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-3-laser.html
Xiaomi Redmi Note 4,,5.5 İnç,32 GB,3 GB,4100 mAh,35.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4.html
HTC One ME,,5.2 İnç,32 GB,3 GB,2840 mAh,35.0,https://www.epey.com/akilli-telefonlar/htc-one-me.html
Lenovo Vibe P1,,5.5 İnç,32 GB,2 GB,5000 mAh,35.0,https://www.epey.com/akilli-telefonlar/lenovo-vibe-p1.html
Xiaomi Redmi Note 3 Pro,,5.5 İnç,32 GB,3 GB,4000 mAh,35.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-3-pro.html
Alcatel 1S (2020),1376.55,6.22 İnç,32 GB,3 GB,4000 mAh,35.0,https://www.epey.com/akilli-telefonlar/alcatel-1s-2020.html
Apple iPhone 6s,3999.0,4.7 İnç,32 GB,2 GB,1715 mAh,35.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-32gb.html
Motorola Moto G5S,,5.2 İnç,32 GB,3 GB,3000 mAh,35.0,https://www.epey.com/akilli-telefonlar/moto-g5s.html
Realme C11,1812.57,6.5 İnç,32 GB,2 GB,5000 mAh,35.0,https://www.epey.com/akilli-telefonlar/realme-c11.html
Samsung Galaxy A5 (2016),,5.2 İnç,16 GB,2 GB,2900 mAh,35.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a5-2016-duos.html
Xiaomi Redmi Note 4X,,5.5 İnç,32 GB,3 GB,4100 mAh,35.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4x.html
General Mobile GM 5 Plus,,5.5 İnç,32 GB,3 GB,3100 mAh,34.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-5-plus-dual-sim.html
General Mobile GM 5 Plus,1214.22,5.5 İnç,32 GB,3 GB,3100 mAh,34.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-5-plus.html
Vestel Venus E5,1626.57,6.1 İnç,32 GB,3 GB,3400 mAh,34.0,https://www.epey.com/akilli-telefonlar/vestel-venus-e5.html
